title,subtitle_or_edition,type,in_storage,publisher,min_players,max_players,best_players,bgg_id,bgg_title,bgg_year,poll_votes,confidence,purchase_date,notes
Mind MGMT,The Psychic Espionage Loyalty Test,base game,no,Off the Page Games,1,5,2-3,284653,"Mind MGMT: The Psychic Espionage ""Game.""",2021,208,high,2022-11-10,Handwritten note on box front
Undaunted,Stalingrad,base game,no,Osprey Games,2,2,2,354570,Undaunted: Stalingrad,2022,30,high,2022-08-29,David Thompson & Trevor Benjamin
Undaunted,Normandy,base game,no,Osprey Games,2,2,2,268864,Undaunted: Normandy,2019,188,high,2020-01-16,
Undaunted,North Africa,base game,no,Osprey Games,2,2,2,290359,Undaunted: North Africa,2020,66,high,2020-08-25,
Duel of Ages II,Master Set,expansion,no,Worldspanner,2,8,"2, 4",129459,Duel of Ages II,2013,50,high,2018-09-23,"Brett Murrell; lid reads ""Requires Basic Set to play"". Figures are the base game's"
Duel of Ages II,Base Set,base game,no,Worldspanner,2,8,"2, 4",129459,Duel of Ages II,2013,50,high,2018-09-23,"Spine labeled ""DUEL OF AGES II"""
Defenders of the Realm,,base game,no,Eagle-Gryphon Games,1,4,4,65532,Defenders of the Realm,2010,112,high,2019-06-05,
Cthulhu: Death May Die,Unknowable Box,storage box,no,CMON Global Limited,1,5,3,253344,Cthulhu: Death May Die,2019,387,high,2019-11-25,"Labeled ""Characters / Tokens / Cards""; figures are the base game's"
Cthulhu: Death May Die,Speakable Box,storage box,no,CMON Global Limited,1,5,3,253344,Cthulhu: Death May Die,2019,387,high,2019-11-25,"Labeled ""Episodes""; figures are the base game's"
Cthulhu: Death May Die,Fear of the Unknown,base game,no,CMON Global Limited,1,5,3,253344,Cthulhu: Death May Die,2019,387,high,2025-01-12,"Labeled ""Figures"""
Arcadia Quest,,base game,yes,Cool Mini Or Not,2,4,4,155068,Arcadia Quest,2014,192,high,2018-08-05,Owned with expansions
Ascension,Deckbuilding Game,base game,yes,Stone Blade Entertainment,1,4,2,69789,Ascension: Deckbuilding Game,2010,245,high,2018-07-03,Owned with expansions
Betrayal at House on the Hill,,base game,yes,Avalon Hill,3,6,5-6,10547,Betrayal at House on the Hill,2004,591,high,2018-07-20,
Castle Panic,,base game,yes,Fireside Games,1,6,4,43443,Castle Panic,2009,195,high,,
Descent,Journeys in the Dark (Second Edition),base game,yes,Fantasy Flight Games,1,5,5,104162,Descent: Journeys in the Dark (Second Edition),2012,474,high,,
Dice Forge,,base game,yes,Libellud,2,4,4,194594,Dice Forge,2017,293,high,2018-07-26,
Dungeon Alliance,,base game,yes,Quixotic Games,1,4,1,209660,Dungeon Alliance,2018,74,high,2019-08-03,
DungeonQuest,Revised Edition,base game,yes,Fantasy Flight Games,1,4,3-4,157958,DungeonQuest: Revised Edition,2014,39,high,,Edition identified by owner
Folklore: The Affliction,,base game,yes,Greenbrier Games,1,5,4,159504,Folklore: The Affliction,2017,53,high,2018-10-04,Owned with expansions
Gloom of Kilforth,,base game,yes,Hall or Nothing Productions,1,4,1,98527,Gloom of Kilforth: A Fantasy Quest Game,2017,99,high,2019-05-21,
King of New York,,base game,yes,IELLO,2,6,4,160499,King of New York,2014,181,high,,
Memoir '44,,base game,yes,Days of Wonder,2,4,2,10630,Memoir '44,2004,367,high,2018-07-17,
Munchkin,,base game,yes,Steve Jackson Games,3,6,4,1927,Munchkin,2001,502,high,,
Quarriors!,,base game,yes,WizKids,2,4,3,91536,Quarriors!,2011,242,high,2018-08-18,
Smash Up,,base game,yes,Alderac Entertainment Group,2,4,3,122522,Smash Up,2012,425,high,2018-08-22,
Super Dungeon Explore,,base game,yes,Ninja Division,2,6,4,92190,Super Dungeon Explore,2011,77,high,2018-08-12,
DC Deck-Building Game,Teen Titans Go!,base game,yes,Cryptozoic Entertainment,2,2,2,221369,DC Deck-Building Game: Teen Titans Go!,2017,3,high,,Identified by owner
Valeria,Card Kingdoms,base game,yes,Daily Magic Games,1,5,3,170561,Valeria: Card Kingdoms,2016,106,high,,
Wrath of Ashardalon,,base game,yes,Wizards of the Coast,1,5,3-4,66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,109,high,,
Gloomhaven,,base game,yes,Cephalofair Games,1,4,3,174430,Gloomhaven,2017,1644,high,,
Glorantha,The Gods War,base game,yes,Petersen Games,3,4,4,164702,Glorantha: The Gods War,2019,21,high,2020-01-18,
Ogre,English Sixth Edition,base game,yes,Steve Jackson Games,1,3,2,5206,Ogre,1977,35,high,,"Edition identified by owner: BGG version 330609, released Dec 2016, product code SJG 1315. Player figures are from the Ogre game entry (1977), which all editions share"
Guild Master,,base game,yes,Good Games Publishing,2,4,3-4,256317,Guild Master,2020,9,high,2020-08-31,Confirmed by owner
Talisman,The Magical Quest Game - 5th Edition,base game,yes,Avalon Hill,2,6,3,415550,Talisman: The Magical Quest Game - 5th Edition,2024,15,high,2018-09-11,Edition identified by owner
Dragonfire,,base game,yes,Catalyst Game Labs,2,6,4,226501,Dragonfire,2017,86,high,2018-08-15,Owned with expansions
Starship Samurai,,base game,yes,Plaid Hat Games,2,4,3-4,245357,Starship Samurai,2018,28,high,,
Warcry,Starter Set,base game,yes,Games Workshop Ltd.,2,4,2,276925,Warhammer Age of Sigmar: Warcry Starter Set,2019,11,high,2019-08-18,
Summoner Wars,Alliances Master Set,base game,yes,Plaid Hat Games,2,4,2,158889,Summoner Wars: Alliances Master Set,2014,19,high,2018-09-09,"Colby Dauch; listed as just ""Alliances"" in the storage list. Identified by owner"
Risk Legacy,,base game,yes,Hasbro,3,5,5,105134,Risk Legacy,2011,143,high,,
Level 7,[Omega Protocol],base game,yes,Privateer Press,2,6,5,137649,Level 7 [Omega Protocol],2013,59,high,2019-10-10,Owned with expansion
The Edge,Dawnfall,base game,yes,Awaken Realms,1,4,2,207729,The Edge: Dawnfall,2018,27,high,2020-03-30,
Deep Madness,,base game,yes,Diemension Games,1,6,3,202077,Deep Madness,2018,57,high,2019-11-15,
Forgotten Depths,,base game,yes,Grand Gamers Guild,1,3,1-2,288335,Forgotten Depths,2022,8,high,2022-06-17,
Dungeons of Doria,,base game,yes,(Self-Published),1,6,3,270851,Dungeons of Doria,2023,8,high,2024-01-02,
Ankh: Gods of Egypt,Base Game,base game,no,CMON Global Limited,2,5,"2, 4",285967,Ankh: Gods of Egypt,2021,419,high,2022-01-02,On shelf while the Pantheon expansion is in storage
Ankh: Gods of Egypt,Pantheon Expansion,expansion,yes,CMON Global Limited,2,5,"2, 4",285967,Ankh: Gods of Egypt,2021,419,high,2022-01-02,No separate BGG entry for the expansion; figures are the base game's
Thunderstone Quest,,base game,yes,Alderac Entertainment Group,2,4,2,215341,Thunderstone Quest,2018,92,high,2019-05-21,
Secrets of the Lost Tomb,,base game,yes,Everything Epic Games,1,6,3-4,150484,Secrets of the Lost Tomb,2015,18,high,2019-01-28,
Myth,,base game,yes,MegaCon Games,2,5,4,140519,Myth,2014,72,high,2018-10-18,
Shadows of Brimstone,Forbidden Fortress,base game,yes,Flying Frog Productions,1,4,3-4,212346,Shadows of Brimstone: Forbidden Fortress,2018,20,high,2023-07-15,Standalone core set
Shadows of Brimstone,City of the Ancients,base game,yes,Flying Frog Productions,1,4,4,146791,Shadows of Brimstone: City of the Ancients,2014,97,high,2019-02-01,Standalone core set
Shadows of Brimstone,Blasted Wastes,expansion,yes,Flying Frog Productions,,,,,,,,high,2019-02-07,Expansion confirmed by owner; no separate BGG entry so no player figures assigned
Shadows of Brimstone,Frontier Town,expansion,yes,Flying Frog Productions,,,,,,,,high,2019-02-01,Expansion confirmed by owner; no separate BGG entry so no player figures assigned
Gretchinz!,,base game,yes,Black Monk,2,4,4,239951,Gretchinz!,2018,8,high,2018-08-13,
Grimslingers,,base game,yes,Greenbrier Games,1,6,1-2,173018,Grimslingers,2015,13,high,2019-06-23,
Machina Arcana,Second Edition,base game,yes,Adreama Games,1,4,1-2,299121,Machina Arcana (Second/Third Edition),2019,58,high,2020-01-03,Edition identified by owner; BGG files 2nd and 3rd editions under one entry
Assault on Doomrock,Original (2014),base game,yes,Beautiful Disaster Games,1,4,1,149241,Assault on Doomrock,2014,42,high,2019-06-07,"Listed as ""original, not ultimate edition"" - groups with the Ultimate Edition copy on the shelf"
Shadows of Kilforth,,base game,yes,Hall or Nothing Productions,1,4,1,238916,Shadows of Kilforth: A Fantasy Quest Game,2019,19,high,2020-03-06,
Galaxy Defenders,Base Set,base game,yes,Gremlin Project,1,5,3,138431,Galaxy Defenders,2014,61,high,2018-08-29,
Galaxy Defenders,Extinction Protocol,expansion,yes,Gremlin Project,1,5,3,138431,Galaxy Defenders,2014,61,high,2018-10-20,No separate BGG entry; figures are the base game's
FlickFleet,Base Game,base game,no,Eurydice Games,2,2,2,248878,FlickFleet,2019,6,high,2020-03-07,Dark box to the left of Race for the Galaxy; identified by owner
FlickFleet,Expansion 1: Scenarios and Scenery,expansion,no,Eurydice Games,2,2,2,248878,FlickFleet,2019,6,high,2020-03-07,No separate BGG entry for the expansion; figures are the base game's
Race for the Galaxy,,base game,no,Rio Grande Games,2,4,2,28143,Race for the Galaxy,2007,1274,high,2022-01-17,
Kemet,,base game,no,Matagot,2,5,4-5,127023,Kemet,2012,315,high,2019-07-06,
Cyclades,,base game,no,Matagot,2,5,4-5,54998,Cyclades,2009,487,high,2019-08-31,
For What Remains,Streets of Ruin,base game,no,Dan Verssen Games (DVG),1,2,2,276169,For What Remains: Streets of Ruin,2020,7,high,2020-09-08,
Castle Itter,The Strangest Battle of WWII,base game,no,Dan Verssen Games (DVG),1,1,1,196257,Castle Itter: The Strangest Battle of WWII,2019,23,high,2020-10-03,Solo only
Space Cadets,Away Missions,base game,no,Stronghold Games,1,6,2-4,124827,Space Cadets: Away Missions,2015,22,high,2019-06-01,This is the box whose spine was cut off at the right edge of the shelf 1 photo
Dungeon Degenerates,Hand of Doom,base game,no,Goblinko,1,4,1-2,210232,Dungeon Degenerates: Hand of Doom,2017,69,high,2018-07-18,Red box
Dungeon Degenerates,Mean Streets,expansion,no,Goblinko,1,4,1-2,210232,Dungeon Degenerates: Hand of Doom,2017,69,high,2019-05-23,Green box; identified by owner. No separate BGG entry found so figures are the base game's
Omen,A Reign of War,base game,no,Small Box Games,2,2,2,94104,Omen: A Reign of War,2011,25,high,2022-01-07,
Space Alert,,base game,no,Czech Games Edition (CGE),1,5,4-5,38453,Space Alert,2008,363,high,2019-08-25,
Spell Smashers,,base game,no,Renegade Game Studios,1,5,3,256313,Spell Smashers,2018,14,high,2018-12-06,Pink/purple box; identified by owner
Dig Your Way Out,,base game,no,Borderline Editions,2,6,4-5,266504,Dig Your Way Out,2019,36,high,2020-03-10,"David Simide; spine reads ""DIG OUT"" on the shelf. Identified by owner"
Space Hulk,Fourth Edition,base game,no,Games Workshop Ltd.,2,2,2,165838,Space Hulk (Fourth Edition),2014,36,high,2018-08-08,
SEAL Team Flix,,base game,no,WizKids,1,4,2,177515,SEAL Team Flix,2018,14,high,2019-06-23,
Conan,,base game,no,Monolith Board Games,2,5,4,160010,Conan,2016,91,high,2018-08-08,
Conan,The Conqueror,base game,no,Monolith Board Games,1,5,"1-2, 5",302261,Conan: The Conqueror,2021,3,high,2022-03-12,
Kingdom Death: Monster,,base game,no,Kingdom Death,1,4,4,55690,Kingdom Death: Monster,2015,381,high,2019-02-13,
Era,Medieval Age,base game,no,eggertspiele,1,4,"2, 4",270971,Era: Medieval Age,2019,70,high,2019-11-30,Confirmed by owner
Titans Tactics,,base game,no,Imbalanced Games LLC,2,2,2,142551,Titans Tactics,2013,3,high,2019-07-01,
Exceed,Street Fighter - Ryu Box,base game,no,Level 99 Games,2,2,2,265752,Exceed: Street Fighter – Ryu Box,2019,5,high,,Ryu box confirmed by owner; Exceed Street Fighter also ships as Chun-Li / M. Bison / Guile boxes
Project: ELITE,,base game,no,Artipia Games,1,6,4,256999,Project: ELITE,2020,73,high,2020-06-22,Owned with the Terran Box expansion
Meeple Circus,,base game,no,Matagot,2,5,4-5,193214,Meeple Circus,2017,80,high,2019-06-18,
Warfighter,The WWII Tactical Combat Card Game,base game,no,Dan Verssen Games (DVG),1,6,1,196496,Warfighter: The WWII Tactical Combat Card Game,2016,45,high,2019-08-27,WWII version confirmed by owner
Cosmic Frog,,base game,no,Devious Weasel Games,2,6,4-5,295905,Cosmic Frog,2020,60,high,2020-09-01,
Titan,Avalon Hill English Edition,base game,no,The Avalon Hill Game Co,2,6,"2, 4",103,Titan,1980,132,high,2018-08-04,"Edition given by owner: BGG version 23904, Avalon Hill English edition, 1982. Figures are from the Titan game entry (1980)"
Lords of Hellas,,base game,no,Awaken Realms,1,4,4,222509,Lords of Hellas,2018,164,high,2018-07-09,Owned with 3 expansions: Dark Ages / Lords of the Sun / City of Steel
DOOM,The Board Game,base game,no,Fantasy Flight Games,2,5,5,205317,DOOM: The Board Game,2016,45,high,2018-08-26,
Gears of War,The Board Game,base game,no,Fantasy Flight Games,1,4,"2, 4",42776,Gears of War: The Board Game,2011,147,high,2018-11-06,
Dice Throne,Adventures,expansion,no,Dice Throne Inc.,2,6,2,268201,Dice Throne,2018,68,high,2021-01-12,Co-op campaign expansion; no separate BGG entry so figures are the base game's
Hyperborea,,base game,no,Asterion Press,2,6,4,119788,Hyperborea,2014,129,high,2019-08-30,
Mage Knight,Board Game,base game,no,WizKids,1,4,1-2,96848,Mage Knight Board Game,2011,1358,high,,
Root,,base game,no,Leder Games,2,4,4,237182,Root,2018,1422,high,2020-01-15,Owned with 2 expansions: Riverfolk / Underworld
Gizmos,,base game,no,CMON Global Limited,2,4,3,246192,Gizmos,2018,175,high,2018-08-31,
Champions of Midgard,,base game,no,Grey Fox Games,2,4,4,172287,Champions of Midgard,2015,274,high,2018-08-24,
Teotihuacan,City of Gods,base game,no,NSKN Games,1,4,4,229853,Teotihuacan: City of Gods,2018,418,high,2019-12-30,
Champions of Hara,,base game,no,Greenbrier Games,1,4,3,174805,Champions of Hara,2018,12,high,2019-06-23,Owned with the Chaos on Hara expansion
Pathfinder Adventure Card Game,Core Set,base game,no,Paizo Publishing,1,4,1-2,271060,Pathfinder Adventure Card Game: Core Set,2019,33,high,2019-05-30,
Cave Evil,Warcults,base game,no,Emperors of Eternal Evil,2,12,4,186723,Cave Evil: Warcults,2016,4,high,2019-05-25,
Space Infantry,Resurgence,base game,no,Lock 'n Load Publishing,1,2,1,215155,Space Infantry: Resurgence,2019,4,high,2020-01-30,
Gloomhaven: Jaws of the Lion,,base game,no,Cephalofair Games,1,4,2,291457,Gloomhaven: Jaws of the Lion,2020,875,high,2020-07-31,Standalone game - deliberately titled in full so it does not group with Gloomhaven
BattleCON,Devastation of Indines,base game,no,Level 99 Games,1,5,2,123123,BattleCON: Devastation of Indines,2013,87,high,2020-10-19,"Edition given by owner: BGG version 534561, English edition 2020. Figures are from the game entry (2013)"
Oathsworn,Into the Deepwood,base game,no,Shadowborne Games,1,4,"2, 4",251661,Oathsworn: Into the Deepwood,2022,201,high,2022-08-23,
Street Masters,,base game,no,Blacklist Games,1,4,1-2,218421,Street Masters,2018,85,high,2018-09-09,Owned with every expansion
Dragons Down,,base game,no,Mr. B Games,1,4,1,351648,Dragons Down,2024,24,high,2025-01-21,
Imperium,Legends,base game,no,Osprey Games,1,4,1-2,318182,Imperium: Legends,2021,178,high,2025-08-17,
Inis,,base game,no,Matagot,2,4,4,155821,Inis,2016,550,high,2026-03-01,Owned with 2 expansions: Nemed / Seasons
A Study in Emerald,Second Edition,base game,no,Treefrog Games,2,5,4-5,178054,A Study in Emerald (Second Edition),2015,68,high,2019-08-12,
War of the Ring: The Card Game,,base game,no,Ares Games,2,4,4,362944,War of the Ring: The Card Game,2022,176,high,,Separate game from War of the Ring - titled in full so it does not group with it
Nusfjord,,base game,no,Lookout Games,1,5,"1, 3",234277,Nusfjord,2017,229,high,2022-01-12,
A Feast for Odin,,base game,no,Feuerland Spiele,1,4,3,177736,A Feast for Odin,2016,676,high,2022-01-20,Owned with The Norwegians expansion
Starship Troopers,,base game,no,The Avalon Hill Game Co,1,2,2,670,Starship Troopers,1976,18,high,,
Clank!,A Deck-Building Adventure,base game,no,Dire Wolf,2,4,3,201808,Clank!: A Deck-Building Adventure,2016,739,high,,
War of the Ring,Second Edition,base game,no,Ares Games,2,4,2,115746,War of the Ring: Second Edition,2011,601,high,2018-07-12,
Hoplomachus,Rise of Rome,base game,no,Chip Theory Games,1,2,1,139131,Hoplomachus: Rise of Rome,2013,8,high,2020-09-23,
Hoplomachus,The Lost Cities,base game,no,Chip Theory Games,1,3,2,124839,Hoplomachus: The Lost Cities,2012,19,high,2020-09-23,
Cry Havoc,,base game,no,Portal Games,2,4,4,192457,Cry Havoc,2016,151,high,2018-08-16,
Awkward Guests,The Walton Case,base game,no,Megacorpin Games,1,8,4,188866,Awkward Guests: The Walton Case,2016,237,high,2020-10-10,
Townsfolk Tussle,,base game,no,Panic Roll,1,5,3,312859,Townsfolk Tussle,2022,52,high,2021-12-30,
Black Rose Wars,,base game,no,Ludus Magnus Studio,2,4,4,239942,Black Rose Wars,2019,147,high,2020-10-25,
RoboRally,,base game,no,Wizards of the Coast,2,8,5-6,18,RoboRally,1994,302,high,2018-07-20,
7 Wonders Duel,,base game,no,Repos Production,2,2,2,173346,7 Wonders Duel,2015,1535,high,2018-07-20,
Kingdomino,,base game,no,Blue Orange (EU),2,4,"2, 4",204583,Kingdomino,2016,798,high,,
Bargain Quest,,base game,no,(Self-Published),2,6,4,223740,Bargain Quest,2017,47,high,2019-08-02,
Twilight Struggle,,base game,no,GMT Games,2,2,2,12333,Twilight Struggle,2005,939,high,,
Catan,,base game,no,KOSMOS,3,4,4,13,Catan,1995,2184,high,,
Forbidden Island,,base game,no,Gamewright,2,4,4,65244,Forbidden Island,2010,572,high,,
Carcassonne,,base game,no,Hans im Glück,2,5,2,822,Carcassonne,2000,2786,high,,
Heroes of Terrinoth,,base game,no,Fantasy Flight Games,1,4,4,254591,Heroes of Terrinoth,2018,73,high,2018-11-09,
Arkham Horror: The Card Game,,base game,no,Fantasy Flight Games,1,2,2,205637,Arkham Horror: The Card Game,2016,1122,high,,Separate game from Arkham Horror - titled in full so it does not group with it
Eldritch Horror,,base game,no,Fantasy Flight Games,1,8,4,146021,Eldritch Horror,2013,994,high,,
Arkham Horror,Third Edition,base game,no,Fantasy Flight Games,1,6,3,257499,Arkham Horror (Third Edition),2018,267,high,2018-11-02,
Nexus Ops,,base game,no,Avalon Hill,2,4,4,15363,Nexus Ops,2005,195,high,2018-09-21,
Sagrada,,base game,no,Floodgate Games,1,4,2,199561,Sagrada,2017,621,high,,
Too Many Bones,,base game,no,Chip Theory Games,1,4,2,192135,Too Many Bones,2017,472,high,2019-03-13,Owned with all expansions
Warhammer Quest,The Adventure Card Game,base game,no,Fantasy Flight Games,1,4,4,181521,Warhammer Quest: The Adventure Card Game,2015,114,high,,
Bloodborne,The Board Game,base game,no,CMON Global Limited,1,4,1-2,273330,Bloodborne: The Board Game,2021,127,high,2021-01-16,
Tainted Grail,The Fall of Avalon,base game,no,Awaken Realms,1,4,1-2,264220,Tainted Grail: The Fall of Avalon,2019,550,high,2019-11-18,
Scythe,,base game,no,Stonemaier Games,1,5,4,169786,Scythe,2016,1677,high,2018-09-19,
Lord of the Rings: The Confrontation,,base game,no,Sophisticated Games,2,2,2,3201,Lord of the Rings: The Confrontation,2002,72,high,2018-09-01,
The Lord of the Rings: The Card Game,,base game,no,Fantasy Flight Games,1,2,2,77423,The Lord of the Rings: The Card Game,2011,772,high,2018-06-30,
Aeon's End,The New Age,base game,no,Action Phase Games,1,4,2,270633,Aeon's End: The New Age,2019,84,high,2019-12-30,
Aeon's End,War Eternal,base game,no,Action Phase Games,1,4,2,218417,Aeon's End: War Eternal,2017,152,high,2018-10-01,
Aeon's End,Legacy,base game,no,Indie Boards & Cards,1,4,2,241451,Aeon's End: Legacy,2019,125,high,2019-09-02,
Res Publica,,base game,no,Queen Games,3,5,4,277,Res Publica,1991,20,high,,
The Binding of Isaac,Four Souls,base game,no,Maestro Media,2,4,3,255664,The Binding of Isaac: Four Souls,2018,98,high,2018-08-22,
Space Hulk: Death Angel,The Card Game,base game,no,Fantasy Flight Games,1,6,1,71721,Space Hulk: Death Angel - The Card Game,2010,352,high,2018-08-04,Separate game from Space Hulk - titled in full so it does not group with it
D6 Shooter,,base game,no,Epic Scale Games,2,4,4,181464,D6 Shooter,2016,4,high,2018-08-22,
Pixel Tactics,,base game,no,Level 99 Games,2,2,2,125548,Pixel Tactics,2012,35,high,2018-08-14,
Love Letter,2019 Edition,base game,no,Z-Man Games,2,6,4,277085,Love Letter,2019,262,high,,Edition confirmed by owner; BGG lists the 2012 AEG version as a separate entry
One Night Ultimate Werewolf,,base game,no,Bezier Games,3,10,6-8,147949,One Night Ultimate Werewolf,2014,352,high,2018-08-22,
Battle for Sularia,,base game,no,Punch-It Entertainment,2,2,2,168250,Battle for Sularia,2016,6,high,2018-07-25,"Listed as just ""Sularia"""
Tiny Epic Mechs,,base game,no,Gamelyn Games,1,4,3-4,257283,Tiny Epic Mechs,2019,38,high,2018-10-20,
Dungeon of Mandom,VIII,base game,no,Oink Games,2,4,3,227110,Dungeon of Mandom VIII,2017,8,high,2018-07-26,Confirmed by owner
Radlands,,base game,no,Roxley,2,2,2,329082,Radlands,2021,163,high,2022-01-03,
Dark Venture,,base game,no,Gilded Skull Games,1,4,3,228412,Dark Venture,2019,10,high,2019-12-05,
Cockroach Poker,,base game,no,Drei Magier Spiele,2,6,5,11971,Cockroach Poker,2004,213,high,,
Faraway,,base game,no,Catch Up Games,2,6,3,385761,Faraway,2023,339,high,,
Hot Streak,,base game,no,CMYK,2,8,5-6,446497,Hot Streak,2025,109,high,2025-07-15,
Res Arcana,Base Game,base game,no,Sand Castle Games,2,4,2,262712,Res Arcana,2019,467,high,2019-12-30,Owned with all expansions
Res Arcana,Duo,base game,no,Sand Castle Games,2,2,2,427345,Res Arcana Duo,2024,10,high,,Standalone 2-player game in the same series
Exploding Minions,,base game,no,Exploding Kittens,2,5,4-5,341164,Exploding Minions,2021,6,high,,
Exploding Kittens,Recipes for Disaster,base game,no,Exploding Kittens,2,5,5,343282,Exploding Kittens: Recipes for Disaster,2021,14,high,,
Architects of the West Kingdom,,base game,no,Garphill Games,1,5,4,236457,Architects of the West Kingdom,2018,653,high,2025-08-02,
The Cards of Cthulhu,,base game,no,Dan Verssen Games (DVG),1,4,1,145642,The Cards of Cthulhu,2014,23,high,,"BGG has a second, near-empty entry with the same title; matched to the published DVG game"
Lost Ruins of Arnak,,base game,no,Czech Games Edition (CGE),1,4,3,312484,Lost Ruins of Arnak,2020,1133,high,2025-08-01,Owned with the Expedition Leaders expansion
Quacks of Quedlinburg,,base game,no,CMYK,2,4,4,244521,Quacks,2018,812,high,,"BGG now lists this simply as ""Quacks"""
Troyes,,base game,no,Pearl Games,1,4,3,73439,Troyes,2010,608,high,,
Deception,Murder in Hong Kong,base game,no,Jolly Thinkers,4,12,6-8,156129,Deception: Murder in Hong Kong,2014,318,high,2025-08-17,
The Gang,,base game,no,KOSMOS,3,6,5,411567,The Gang,2024,211,high,,
Power Hungry Pets,,base game,no,Exploding Kittens,2,6,4-5,411404,Power Hungry Pets,2024,12,high,,
Cthulhu Wars,,base game,no,Petersen Games,2,4,4,139976,Cthulhu Wars,2015,174,high,2018-07-20,Owned with all expansions
Marvel United,,base game,no,CMON Global Limited,1,4,3,298047,Marvel United,2020,221,high,,
Fangs,,base game,no,KOSMOS,5,8,6-7,337262,Fangs,2021,8,high,2025-06-28,
Arcs,,base game,no,Leder Games,2,4,3-4,359871,Arcs,2024,584,high,,Owned with the Blighted Reach expansion
Tsuro,,base game,no,Calliope Games,2,8,"4, 6",16992,Tsuro,2005,319,high,,
Bloodborne: The Card Game,,base game,no,CMON Global Limited,3,5,4-5,195856,Bloodborne: The Card Game,2016,56,high,,Separate game from Bloodborne: The Board Game - titled in full so it does not group with it
Moon Colony Bloodbath,,base game,no,Rio Grande Games,1,5,4,425549,Moon Colony Bloodbath,2025,125,high,2025-08-18,
Blood Rage,,base game,no,Cool Mini Or Not,2,4,4,170216,Blood Rage,2015,1072,high,2018-07-06,
Last Bastion,,base game,no,Repos Production,1,4,4,285984,Last Bastion,2019,92,high,2019-12-04,
SCOUT,,base game,no,Oink Games,2,5,4,291453,SCOUT,2019,708,high,2025-07-24,
Gloomy Graves,,base game,no,Renegade Game Studios,2,4,3,293556,Gloomy Graves,2020,9,high,,
Trickdraw,,base game,no,"House Fish Balloon, LLC",2,5,3-4,365594,Trickdraw,2022,5,high,,
Line of Fire,Burnt Moon,base game,no,Osprey Games,2,2,2,427263,Line of Fire: Burnt Moon,2025,2,high,,
The Lord of the Rings: The Two Towers,Trick-Taking Game,base game,no,Office Dog,1,4,4,448271,The Lord of the Rings: The Two Towers - Trick-Taking Game,2026,35,high,,Separate game from The Lord of the Rings: The Card Game
Codenames,,base game,no,Czech Games Edition (CGE),2,8,"6, 8",178900,Codenames,2015,1442,high,,
Nature,,base game,no,NorthStar Game Studio,1,4,3-4,330152,Nature,2025,26,high,2025-08-31,Owned with 2 expansions: Flight / Jurassic
Dungeon Dare,,base game,no,Don Scurlock Games,2,3,,313748,Dungeon Dare,2020,0,high,,No player poll on BGG so no best-at figure
Tranquility,The Ascent,base game,no,Lucky Duck Games,1,5,1-2,334717,Tranquility: The Ascent,2024,19,high,,
Dungeon Drop,,base game,no,Phase Shift Games,1,4,2-4,262208,Dungeon Drop,2020,15,high,2019-07-18,
Cafe Chaos,,base game,no,(Self-Published),3,8,4,316625,Cafe Chaos,2021,3,high,,
